"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-01","0.00","0.0","0.0","46","28","29"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-02","0.00","0.0","0.0","49","29","29"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-03","0.20","0.5","1.0","37","17","17"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-04","0.00","0.0","0.0","26","14","15"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-05","0.04","0.0","0.0","35","15","30"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-06","0.62","0.0","0.0","44","30","43"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-07","0.00","0.0","0.0","43","3","3"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-08","0.00","0.0","0.0","20","3","12"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-09","0.00","0.0","0.0","34","12","25"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-10","0.07","0.0","0.0","43","25","30"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-11","0.89","0.0","0.0","38","30","38"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-12","0.58","0.0","0.0","50","38","39"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-13","0.00","0.0","0.0","54","34","35"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-14","0.06","0.0","0.0","56","35","43"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-15","0.08","0.0","0.0","50","32","36"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-16","0.03","0.3","0.0","56","28","28"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-17","0.00","0.0","0.0","42","26","27"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-18","0.00","0.0","0.0","50","24","24"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-19","0.00","0.0","0.0","33","23","24"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-20","0.00","0.0","0.0","47","24","33"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-21","0.00","0.0","0.0","59","31","32"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-22","0.17","1.6","2.0","33","9","9"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-23","0.00","0.0","2.0","23","9","14"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-24","0.00","0.0","1.0","28","6","7"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-25","0.00","0.0","1.0","26","7","17"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-26","0.00","0.0","0.0","31","17","19"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-27","0.00","0.0","1.0","36","19","35"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-28","0.00","0.0","0.0","53","14","14"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-29","0.02","0.9","1.0","21","8","8"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-30","0.00","0.0","0.0","26","8","12"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-01-31","0.00","0.0","0.0","33","12","26"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-01","0.00","0.0","0.0","54","26","29"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-02","0.00","0.0","0.0","56","29","40"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-03","1.48","0.0","0.0","66","37","37"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-04","0.15","0.0","0.0","42","31","31"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-05","0.17","0.0","0.0","36","31","31"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-06","0.12","0.0","0.0","52","28","28"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-07","0.00","0.0","0.0","40","25","26"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-08","0.00","0.0","0.0","44","26","27"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-09","0.00","0.0","0.0","36","27","29"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-10","0.00","0.0","0.0","39","27","27"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-11","0.00","0.0","0.0","33","18","19"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-12","0.00","0.0","0.0","33","16","16"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-13","2.02","11.1","11.0","29","16","29"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-14","0.45","4.3","14.0","38","29","38"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-15","0.19","0.5","9.0","53","31","32"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-16","0.00","0.0","8.0","40","25","26"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-17","0.00","0.0","7.0","45","24","25"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-18","0.00","0.1","7.0","41","25","28"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-19","0.00","0.0","5.0","56","28","41"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-20","0.01","0.0","3.0","63","39","40"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-21","0.00","0.0","2.0","52","40","49"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-22","0.21","0.0","0.0","59","42","42"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-23","0.00","0.0","0.0","63","38","40"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-24","0.00","0.0","0.0","68","36","37"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-25","0.00","0.0","0.0","51","32","32"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-26","0.00","0.0","0.0","45","29","29"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-27","0.00","0.0","0.0","42","20","23"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-02-28","0.00","0.0","0.0","46","12","13"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-03-01","0.00","0.0","0.0","33","13","22"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-03-02","0.00","0.0","0.0","50","22","40"
"USC00441593","CHARLOTTESVILLE 2 W, VA US","2014-03-03","0.94","2.0","2.0","65","24","24"
